index,top1,top2,top3,strategy_ret_1m,avg_score,krx_benchmark_fwd_1m,strategy_cum,benchmark_cum
2012-01-31,반도체,증권,은행,0.04695876714007167,0.7666666666666666,0.056694449812195936,0.046958767140071744,0.05669444981219596
2012-02-29,건설,반도체,증권,-0.023727067209379078,0.8666666666666666,-0.024815259733547423,0.0221175061066905,0.030472302581108446
2012-03-30,반도체,건설,증권,-0.08303451827647257,0.8166666666666668,-0.05973671750135112,-0.06275352863482808,-0.031084730251145998
2012-04-30,반도체,증권,은행,-0.05221075150078954,0.7416666666666666,-0.0657690560432267,-0.111687871246267,-0.09480937292839653
2012-05-31,반도체,증권,기계장비,-0.005613216030582217,0.7833333333333332,0.007291753142342516,-0.11667415912754808,-0.0882089463290282
2012-06-29,반도체,증권,기계장비,-0.028607447581775875,0.8083333333333332,-0.013784031372696449,-0.14194385681793487,-0.10077710281817287
2012-07-31,반도체,기계장비,증권,-0.006814301888192394,0.8416666666666665,0.021880036956000694,-0.14779091041459558,-0.08110207259615254
2012-08-31,반도체,증권,은행,0.05053646660612943,0.8166666666666665,0.03515355288886566,-0.10472327421732286,-0.04879954570569245
2012-09-28,반도체,증권,은행,-0.05390176300293459,0.7916666666666666,-0.06821507181661678,-0.15298026811250398,-0.11368575300737715
2012-10-31,반도체,증권,기계장비,0.01577229662010371,0.8666666666666666,-0.007798326474113904,-0.13962082165809364,-0.12059752086408404
2012-11-30,반도체,증권,은행,0.07933832443432709,0.8166666666666665,0.0543742180880548,-0.07135977927026371,-0.0727806986763716
2012-12-28,반도체,증권,은행,0.011551377865558302,0.8416666666666665,-0.016768860396498386,-0.06063270517945907,-0.08832910969720631
2013-01-31,증권,반도체,은행,0.054574648709483954,0.8416666666666667,0.01814594771836524,-0.009367065055449708,-0.07178597738541637
2013-02-28,증권,은행,반도체,-0.009397493354444286,0.8666666666666666,-0.03052634015773926,-0.01867653147828474,-0.10012095437893265
2013-03-29,반도체,증권,은행,-0.031215139814689485,0.8666666666666666,-0.07321890083254597,-0.04930868075162609,-0.16600910898154775
2013-04-30,반도체,증권,은행,0.04091149904664467,0.8416666666666665,0.04292676602279359,-0.01041447375054294,-0.13020857713765743
2013-05-31,반도체,증권,보험,-0.07091059042705383,0.8916666666666666,-0.0644110753588801,-0.08058656769495876,-0.18623277802215132
2013-06-28,반도체,보험,증권,-0.015260139419829843,0.8666666666666667,0.0425554407885871,-0.09461694485639793,-0.15160255519157995
2013-07-31,기계장비,은행,반도체,-0.0027805601056242932,0.8416666666666667,0.00042368001352537376,-0.09713441685983848,-0.1512431061506887
2013-08-30,기계장비,반도체,은행,0.08395298651673448,0.8416666666666665,0.056289330141010875,-0.021336154732048862,-0.10346714914334598
2013-09-30,기계장비,은행,반도체,0.024554254439453842,0.8666666666666667,-0.0003122682301599955,0.0026942063353547763,-0.10374710786996322
2013-10-31,기계장비,은행,반도체,0.004569141317847543,0.8666666666666667,-0.01663968669964745,0.007275657862688023,-0.11866047519865996
2013-11-29,기계장비,은행,반도체,0.004713832589771576,0.8666666666666667,0.006267406739298797,0.012023786685604776,-0.11313676192130973
2013-12-30,기계장비,은행,반도체,-0.03180262958182456,0.8666666666666666,-0.02028244338990557,-0.020161230930352936,-0.13112451534222913
2014-01-29,기계장비,자동차,은행,-0.00017924660114025195,0.8416666666666667,-0.00039321385204152957,-0.02033686369937404,-0.13146616921849585
2014-02-28,기계장비,자동차,은행,-0.004230195645535247,0.8416666666666667,-0.005749262393294241,-0.02448103043264438,-0.13645959810911168
2014-03-31,자동차,은행,기계장비,-0.06707849287079996,0.8083333333333332,-0.021145997369767522,-0.0899173726780983,-0.15472002117618444
2014-04-30,건설,운송,철강,0.006174737106755719,0.8166666666666668,-0.00069343918806406,-0.08429785170895998,-0.15530617143838688
2014-05-30,운송,철강,건설,0.030731190977763518,0.7916666666666666,0.0116195827665177,-0.05615723411107976,-0.14549118158504848
2014-06-30,건설,운송,철강,0.054619267181576836,0.8416666666666667,0.04424071970697332,-0.004605233903594352,-0.10768709646241559
2014-07-31,건설,철강,은행,-0.0018340806902306477,0.8416666666666667,0.008827339079364383,-0.006430868223248343,-0.09981034789799725
2014-08-29,증권,건설,은행,-0.05058393950528983,0.8666666666666666,-0.05261814280340783,-0.05668950907936687,-0.1471766555624504
2014-09-30,운송,증권,보험,0.018802773410301604,0.9166666666666666,-0.03958776179719313,-0.03895265566302586,-0.1809380229771297
2014-10-31,운송,증권,보험,0.026470963102004363,0.9166666666666666,0.0043873630371171314,-0.013512806871802563,-0.1773445007340314
2014-11-28,운송,증권,보험,-0.013282001659221962,0.9166666666666666,-0.02515581533995448,-0.026615331407732534,-0.19803907056196413
2014-12-30,운송,증권,보험,0.011722704094680125,0.9166666666666666,0.014423797131806627,-0.01520463096752711,-0.1864717488081148
2015-01-30,운송,증권,보험,0.007699291419693573,0.8583333333333333,0.034133889058966804,-0.007622404432581442,-0.15870286573559567
2015-02-27,운송,증권,건설,0.054032415098170326,0.8916666666666666,0.006369492392729404,0.04599815374524163,-0.15334423003887354
2015-03-31,증권,운송,건설,0.060866672269960974,0.8916666666666666,0.06181659924893904,0.10966458056423734,-0.10100684960538464
2015-04-30,증권,에너지화학,운송,-0.06343768288774043,0.8666666666666667,-0.03372656750349701,0.03927003079064573,-0.1313268027773501
2015-05-29,증권,에너지화학,운송,-0.025141334004296672,0.8666666666666667,-0.045028774940172454,0.013141395825882363,-0.17044209267164878
2015-06-30,에너지화학,보험,증권,-0.0455689672268292,0.8666666666666666,-0.06030076963673988,-0.03302641123665129,-0.22046507294179174
2015-07-31,에너지화학,보험,증권,-0.06849464500264235,0.8666666666666666,-0.049948258561770154,-0.09925892392592794,-0.2594014850364257
2015-08-31,증권,에너지화학,건설,0.005861734398737273,0.8916666666666666,0.01860879129196692,-0.09397901897594896,-0.2456198418403278
2015-09-30,에너지화학,보험,증권,0.04750181847672663,0.8666666666666667,0.01578800256984262,-0.05094137479923866,-0.23370968596466457
2015-10-30,에너지화학,보험,자동차,-0.00902906491722133,0.8666666666666666,-0.04144851108410793,-0.05951048673642512,-0.26547127853960273
2015-11-30,에너지화학,자동차,기계장비,-0.009577959299084745,0.8166666666666668,0.0025206607324501306,-0.06851845701567971,-0.2636197808345607
2015-12-30,에너지화학,보험,자동차,-0.040375362036400686,0.8666666666666666,-0.0323588002938973,-0.10612736154389679,-0.2874481612869114
2016-01-29,에너지화학,건설,보험,-0.0087592768947747,0.8416666666666667,0.013248807902481851,-0.11395703949279667,-0.27800769885524146
2016-02-29,에너지화학,보험,자동차,0.05353338218694955,0.8916666666666666,0.060091411519529146,-0.0665241630539084,-0.23462216237321987
2016-03-31,에너지화학,보험,자동차,-0.05398325483748467,0.8916666666666666,-0.0019245397922801888,-0.11691622704440352,-0.236095162477862
2016-04-29,보험,자동차,에너지화학,-0.01984548346559667,0.8416666666666667,-0.04748340715555734,-0.1344414514593305,-0.2723679669060255
2016-05-31,에너지화학,자동차,기계장비,-0.04603191983640568,0.8416666666666667,-0.03340560817971823,-0.17428477317947022,-0.29667495750257455
2016-06-30,기계장비,자동차,에너지화학,0.056679386431183566,0.8416666666666667,0.06723015714403772,-0.127483740756397,-0.2493903043721356
2016-07-29,기계장비,자동차,반도체,-0.0003751926308395899,0.7916666666666666,0.00469370124137527,-0.127811102427153,-0.24586716671197884
2016-08-31,기계장비,반도체,건설,0.009933011252539056,0.9166666666666666,0.011008251082689203,-0.11914764029322222,-0.2375654831334445
2016-09-30,기계장비,반도체,은행,0.014717622395274152,0.8416666666666665,-0.008616925003124332,-0.10618358787707172,-0.24413532418507689
2016-10-31,기계장비,은행,반도체,-0.021374546543138973,0.8916666666666666,-0.020395397574404728,-0.12528850837901473,-0.2595514847607707
2016-11-30,철강,은행,기계장비,0.04683981832042424,0.8666666666666666,0.03775606698483604,-0.08431718102870056,-0.23159506102057603
2016-12-29,은행,기계장비,철강,0.026330379195122083,0.8083333333333332,0.014364021399233762,-0.060206905182727866,-0.22055767603379872
2017-01-31,철강,은행,기계장비,0.024111030603519268,0.8666666666666666,0.02198633945830224,-0.0375475251126125,-0.20342059251090983
2017-02-28,기계장비,은행,반도체,0.027716681605767606,0.8916666666666666,0.020944646412294855,-0.01087153630547566,-0.18673651848173545
2017-03-31,반도체,은행,기계장비,0.022442589694699516,0.8916666666666666,0.0030088548411770924,0.011327067960569037,-0.18428952671821675
2017-04-28,반도체,은행,기계장비,0.03338115832217673,0.9166666666666666,0.07995653075001832,0.04508633693166364,-0.11906814717814984
2017-05-31,반도체,은행,운송,0.08040775908553292,0.8666666666666666,0.029700257991141288,0.12911938733524697,-0.09290424387672669
2017-06-30,은행,반도체,운송,0.0018794688639126589,0.8666666666666666,-0.0014117576104661393,0.13124153206738387,-0.09418484321385534
2017-07-31,은행,보험,증권,-0.05232280980761683,0.8166666666666665,-0.013808404461450359,0.07205179653854499,-0.10669270526607055
2017-08-31,철강,보험,운송,-0.060847178277326885,0.7666666666666666,-0.015184659718194597,0.006820469752035541,-0.12025727256038621
2017-09-29,반도체,증권,에너지화학,0.023580520639461772,0.8666666666666666,0.04465965586509527,0.03056182061925594,-0.08096826510311272
2017-10-31,반도체,증권,철강,0.009061279819830329,0.8166666666666665,0.01095054826535679,0.03990002964752093,-0.0709043637327299
2017-11-30,반도체,에너지화학,자동차,0.006816474159784443,0.7916666666666666,0.004018358478176028,0.0469884813283723,-0.06717092440569894
2017-12-28,에너지화학,반도체,증권,0.08081844971300552,0.8416666666666667,0.07607138249607548,0.13160446725670538,0.0037906730072956307
2018-01-31,증권,보험,건설,-0.09289523044141257,0.7666666666666666,-0.05969428815743812,0.026483809502361844,-0.056129896676950675
2018-02-28,에너지화학,증권,운송,0.0005222645910109384,0.7916666666666666,-0.004651609110515631,0.027019905649311005,-0.060520411448711564
2018-03-30,에너지화학,운송,증권,0.02176919421617607,0.8166666666666665,0.012142939610546933,0.04937730143926955,-0.049112367539591695
2018-04-30,건설,운송,증권,-0.009786604824057576,0.8916666666666666,-0.025591480813955993,0.03910746047874758,-0.07344699014193035
2018-05-31,건설,증권,에너지화학,-0.08195219058732121,0.8666666666666666,-0.04838636287855561,-0.046049672163114064,-0.11827952030314082
2018-06-29,건설,에너지화학,은행,0.014545025602261305,0.8416666666666667,-0.011675805890878969,-0.032174440221441114,-0.1285743174740941
2018-07-31,건설,에너지화학,증권,0.0019482424669649001,0.7916666666666666,0.0051880001309426126,-0.03028888136526653,-0.12405336091904295
2018-08-31,건설,증권,기계장비,0.06988396655022622,0.8166666666666665,0.02510912463660362,0.03747837801278564,-0.10205910758334524
2018-09-28,건설,자동차,기계장비,-0.18470339249009823,0.8416666666666667,-0.1489571674486743,-0.1541473980413004,-0.23581383945406487
2018-10-31,건설,운송,보험,0.07620650792243748,0.8666666666666667,0.05510869176419831,-0.08968792502892042,-0.1937005398820728
2018-11-30,건설,운송,기계장비,0.0008805189377287063,0.8666666666666666,-0.006830478666160082,-0.08888637800766519,-0.19920795114294465
2018-12-28,건설,운송,기계장비,0.05770214558466432,0.9166666666666666,0.06094064384987449,-0.03631316714729271,-0.1504071680957355
2019-01-31,건설,운송,기계장비,-0.011411205183496698,0.8916666666666666,-0.0062683345100543,-0.047309995329609,-0.15573270016345575
